TransactionDate,TransactionAmount,day_of_week,month,quarter,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30
2023-09-14,798045.3200000001,3,9,3,665655.19,728957.4,571130.18,2092801.6828571425,2656669.632333333
2023-09-15,792401.1,4,9,3,798045.3200000001,10817805.61,769827.45,660601.0385714283,2657422.087333333
2023-09-16,508941.32,5,9,3,792401.1,534509.97,10661347.959999999,656948.374285714,2319008.532666667
2023-09-17,873518.8,6,9,3,508941.32,751263.56,378969.27,674413.4085714283,2335493.517
2023-09-18,816220.73,0,9,3,873518.8,654445.35,10660132.8,697524.1771428569,2007363.1146666666
2023-09-19,532630.99,1,9,3,816220.73,427886.78,503874.37,712487.6357142854,2008321.6686666668
2023-09-20,544070.12,2,9,3,532630.99,665655.19,748533.98,695118.3399999999,2001506.2066666665
2023-09-21,938806.85,3,9,3,544070.12,798045.3200000001,348069.11,715227.1299999998,2021197.4646666667
2023-09-22,506034.66,4,9,3,938806.85,792401.1,801935.63,674317.6385714284,2011334.099
2023-09-23,1009086.56,5,9,3,506034.66,508941.32,670139.29,745766.9585714283,2022632.3413333332
2023-09-24,684051.93,6,9,3,1009086.56,873518.8,599247.1,718700.2628571427,2025459.169
2023-09-25,10513684.67,0,9,3,684051.93,816220.73,878171.0,2104052.254285714,2346642.958
2023-09-26,1002075.37,1,9,3,10513684.67,532630.99,10443320.88,2171115.7371428567,2031934.7743333334
2023-09-27,514431.36,2,9,3,1002075.37,544070.12,764660.0,2166881.628571429,2023593.8196666667
2023-09-28,574592.42,3,9,3,514431.36,938806.85,523183.06,2114850.995714286,2025307.4649999999
2023-09-29,959687.72,4,9,3,574592.42,506034.66,1013373.47,2179658.5757142855,2023517.9400000002
2023-09-30,10508443.27,5,9,3,959687.72,1009086.56,406696.08,3536709.534285714,2360242.8463333333
2023-10-01,562051.41,6,10,4,10508443.27,684051.93,576001.1,3519280.8885714286,2359777.8566666665
2023-10-02,399399.24,0,10,4,562051.41,10513684.67,10731840.2,2074382.97,2015363.158
2023-10-03,10911090.12,1,10,4,399399.24,1002075.37,10450159.870000001,3489956.5057142857,2030727.4996666664
2023-10-04,820134.26,2,10,4,10911090.12,514431.36,639556.5800000001,3533628.3485714286,2036746.7556666667
2023-10-05,722737.26,3,10,4,820134.26,574592.42,835524.65,3554791.897142857,2032987.176
2023-10-06,581333.23,4,10,4,722737.26,959687.72,916955.94,3500741.2557142857,2021799.752333333
2023-10-07,413080.84,5,10,4,581333.23,10508443.27,728957.4,2058546.6228571427,2011270.5336666666
2023-10-08,974249.23,6,10,4,413080.84,562051.41,10817805.61,2117432.0257142857,1683151.9876666665
2023-10-09,473138.36,0,10,4,974249.23,399399.24,534509.97,2127966.1857142854,1681106.2673333334
2023-10-10,464445.43,1,10,4,473138.36,10911090.12,751263.56,635588.3728571429,1671545.663
2023-10-11,677982.88,2,10,4,464445.43,820134.26,654445.35,615281.032857143,1672330.2473333331
2023-10-12,10763485.92,3,10,4,677982.88,722737.26,427886.78,2049673.6985714287,2016850.2186666667
2023-10-13,275951.43,4,10,4,10763485.92,581333.23,665655.19,2006047.7271428572,2003860.0933333333
2023-10-14,648840.91,5,10,4,275951.43,413080.84,798045.3200000001,2039727.7371428572,1998886.6130000001
2023-10-15,10601140.67,6,10,4,648840.91,974249.23,792401.1,3414997.942857143,2325844.5986666665
2023-10-16,524278.43,0,10,4,10601140.67,473138.36,508941.32,3422303.6671428573,2326355.8356666667
2023-10-17,726757.19,1,10,4,524278.43,464445.43,873518.8,3459776.7757142857,2321463.782
2023-10-18,653525.48,2,10,4,726757.19,677982.88,816220.73,3456282.8614285714,2316040.6070000003
2023-10-19,708127.8,3,10,4,653525.48,10763485.92,532630.99,2019803.1300000001,2321890.5006666663
2023-10-20,899048.81,4,10,4,708127.8,275951.43,544070.12,2108817.041428571,2333723.123666667
2023-10-21,729674.5,5,10,4,899048.81,648840.91,938806.85,2120364.697142857,2326752.0453333333
2023-10-22,714099.14,6,10,4,729674.5,10601140.67,506034.66,707930.1928571428,2333687.528
2023-10-23,637441.3,0,10,4,714099.14,524278.43,1009086.56,724096.3171428572,2321299.3526666667
2023-10-24,491115.21,1,10,4,637441.3,726757.19,684051.93,690433.1771428572,2314868.128666667
2023-10-25,574095.24,2,10,4,491115.21,653525.48,10513684.67,679086.0,1983548.481
2023-10-26,778923.51,3,10,4,574095.24,708127.8,1002075.37,689199.6728571429,1976110.0856666665
2023-10-27,632829.85,4,10,4,778923.51,899048.81,514431.36,651168.3928571428,1980056.7019999998
2023-10-28,806807.0,5,10,4,632829.85,729674.5,574592.42,662187.3214285715,1987797.188
2023-10-29,590593.44,6,10,4,806807.0,714099.14,959687.72,644543.65,1975494.045333333
2023-10-30,642842.89,0,10,4,590593.44,637441.3,10508443.27,645315.3057142858,1646640.6993333332
2023-10-31,233194.24999999997,1,10,4,642842.89,491115.21,562051.41,608469.4542857142,1635678.794
2023-11-01,722374.38,2,11,4,233194.24999999997,574095.24,399399.24,629652.1885714286,1646444.632
2023-11-02,751570.43,3,11,4,722374.38,778923.51,10911090.12,625744.6057142857,1307793.9756666669
2023-11-03,692582.22,4,11,4,751570.43,632829.85,820134.26,634280.6585714286,1303542.241
2023-11-04,525860.84,5,11,4,692582.22,806807.0,722737.26,594145.4928571429,1296979.6936666667
2023-11-05,10726791.15,6,11,4,525860.84,590593.44,581333.23,2042173.7371428572,1635161.6243333332
2023-11-06,943704.98,0,11,4,10726791.15,642842.89,413080.84,2085154.0357142857,1652849.0956666665
2023-11-07,10361606.24,1,11,4,943704.98,233194.24999999997,974249.23,3532070.0342857144,1965760.996
2023-11-08,880528.37,2,11,4,10361606.24,722374.38,473138.36,3554663.4614285715,1979340.663
2023-11-09,399161.62,3,11,4,880528.37,751570.43,464445.43,3504319.345714286,1977164.5359999998
2023-11-10,975023.46,4,11,4,399161.62,692582.22,677982.88,3544668.0942857144,1987065.8886666668
2023-11-11,722771.15,5,11,4,975023.46,525860.84,10763485.92,3572798.1385714286,1652375.3963333333
2023-11-12,520653.13,6,11,4,722771.15,10726791.15,275951.43,2114778.4214285715,1660532.1196666667
2023-11-13,285987.03,0,11,4,520653.13,943704.98,648840.91,2020818.7142857143,1648436.9903333334
2023-11-14,673579.84,1,11,4,285987.03,10361606.24,10601140.67,636814.9428571428,1317518.296
2023-11-15,512561.81,2,11,4,673579.84,880528.37,524278.43,584248.2914285715,1317127.742
2023-11-16,700691.37,3,11,4,512561.81,399161.62,726757.19,627323.97,1316258.8813333332
2023-11-17,10750053.770000001,4,11,4,700691.37,975023.46,653525.48,2023756.8714285716,1652809.8243333334
2023-11-18,570773.35,5,11,4,10750053.770000001,722771.15,708127.8,2002042.9000000001,1648231.342666667
2023-11-19,10503353.98,6,11,4,570773.35,520653.13,899048.81,3428143.0214285715,1968374.8483333334
2023-11-20,741747.0800000001,0,11,4,10503353.98,285987.03,729674.5,3493251.6000000006,1968777.2676666668
2023-11-21,545182.33,1,11,4,741747.0800000001,673579.84,714099.14,3474909.0985714286,1963146.7073333333
2023-11-22,803538.92,2,11,4,545182.33,512561.81,637441.3,3516477.2571428576,1968683.2946666668
2023-11-23,544607.4,3,11,4,803538.92,700691.37,491115.21,3494179.547142857,1970466.3676666666
2023-11-24,619587.6900000001,4,11,4,544607.4,10750053.770000001,574095.24,2046970.107142857,1971982.782666667
2023-11-25,629559.24,5,11,4,619587.6900000001,570773.35,778923.51,2055368.0914285716,1967003.973666667
2023-11-26,596182.22,6,11,4,629559.24,10503353.98,632829.85,640057.84,1965782.3860000002
2023-11-27,671439.87,0,11,4,596182.22,741747.0800000001,806807.0,630013.9528571429,1961270.1483333334
2023-11-28,823476.95,1,11,4,671439.87,545182.33,590593.44,669770.3271428571,1969032.9320000003
2023-11-29,1134056.6,2,11,4,823476.95,803538.92,642842.89,716987.1385714287,1985406.7223333335
2023-11-30,530007.16,3,11,4,1134056.6,544607.4,233194.24999999997,714901.3899999999,1995300.4860000003
2023-12-01,835769.8,4,12,4,530007.16,619587.6900000001,722374.38,745784.5485714286,1999080.3333333333
2023-12-02,10620524.76,5,12,4,835769.8,629559.24,751570.43,2173065.3371428573,2328045.4776666667
2023-12-03,571179.85,6,12,4,10620524.76,596182.22,692582.22,2169493.57,2323998.7320000003
2023-12-04,590625.56,0,12,4,571179.85,671439.87,525860.84,2157948.668571429,2326157.556
2023-12-05,1072315.46,1,12,4,590625.56,823476.95,10726791.15,2193497.027142857,2004341.6996666668
2023-12-06,1203852.07,2,12,4,1072315.46,1134056.6,943704.98,2203467.8085714285,2013013.2693333335
2023-12-07,758383.9400000001,3,12,4,1203852.07,530007.16,10361606.24,2236093.062857143,1692905.8593333333
2023-12-08,616454.02,4,12,4,758383.9400000001,835769.8,880528.37,2204762.2371428576,1684103.381
2023-12-09,629380.77,5,12,4,616454.02,10620524.76,399161.62,777455.9528571431,1691777.3526666665
2023-12-10,473986.44,6,12,4,629380.77,571179.85,975023.46,763571.1800000004,1675076.1186666668
2023-12-11,370396.51,0,12,4,473986.44,590625.56,722771.15,732109.8871428574,1663330.2973333334
2023-12-12,319458.44,1,12,4,370396.51,1072315.46,520653.13,624558.8842857146,1656623.8076666666
2023-12-13,962213.31,2,12,4,319458.44,1203852.07,285987.03,590039.0614285717,1679164.6836666665
2023-12-14,295939.22000000003,3,12,4,962213.31,758383.9400000001,673579.84,523975.53000000026,1666576.663
2023-12-15,600198.51,4,12,4,295939.22000000003,616454.02,512561.81,521653.3142857146,1669497.886333333
2023-12-16,791201.56,5,12,4,600198.51,629380.77,700691.37,544770.5700000003,1672514.8926666668
2023-12-17,10514058.19,6,12,4,791201.56,473986.44,10750053.770000001,1979066.5342857146,1664648.3733333333
2023-12-18,667047.9299999999,0,12,4,10514058.19,370396.51,570773.35,2021445.3085714288,1667857.5259999998
2023-12-19,480403.14,1,12,4,667047.9299999999,319458.44,10503353.98,2044437.408571429,1333759.1646666666
2023-12-20,693244.51,2,12,4,480403.14,962213.31,741747.0800000001,2006013.2942857146,1332142.4123333332
2023-12-21,10822922.48,3,12,4,693244.51,295939.22000000003,545182.33,3509868.0457142857,1674733.7506666668
2023-12-22,830279.66,4,12,4,10822922.48,600198.51,803538.92,3542736.781428572,1675625.1086666666
2023-12-23,479957.13,5,12,4,830279.66,791201.56,544607.4,3498273.291428572,1673470.0996666667
2023-12-24,894669.9,6,12,4,479957.13,10514058.19,619587.6900000001,2124074.9642857146,1682639.5066666666
2023-12-25,570771.88,0,12,4,894669.9,667047.9299999999,629559.24,2110321.2428571433,1680679.9279999998
2023-12-26,1001076.95,1,12,4,570771.88,480403.14,596182.22,2184703.215714286,1694176.419
2023-12-27,11063381.08,2,12,4,1001076.95,693244.51,671439.87,3666151.297142857,2040574.4593333334
2023-12-28,489650.55,3,12,4,11063381.08,10822922.48,823476.95,2189969.5928571434,2029446.9126666666
2023-12-29,612022.29,4,12,4,489650.55,830279.66,1134056.6,2158789.9685714287,2012045.769
2023-12-30,647863.8300000001,5,12,4,612022.29,479957.13,530007.16,2182776.64,2015974.3246666668
2023-12-31,808507.91,6,12,4,647863.8300000001,894669.9,835769.8,2170467.7842857144,2015065.595
2024-01-01,10849791.799999999,0,1,1,808507.91,570771.88,10620524.76,3638899.2014285713,2022707.8296666667
2024-01-02,549659.33,1,1,1,10849791.799999999,1001076.95,571179.85,3574410.9699999997,2021990.4789999998
2024-01-03,618777.59,2,1,1,549659.33,11063381.08,590625.56,2082324.7571428572,2022928.88
2024-01-04,10727780.2,3,1,1,618777.59,489650.55,1072315.46,3544914.707142857,2344777.7046666667
2024-01-05,10718543.030000001,4,1,1,10727780.2,612022.29,1203852.07,4988703.384285714,2661934.0700000003
2024-01-06,495488.99,5,1,1,10718543.030000001,647863.8300000001,758383.9400000001,4966935.55,2653170.905
2024-01-07,10865006.030000001,6,1,1,495488.99,808507.91,616454.02,6403578.138571428,2994789.305333333
2024-01-08,502705.24,0,1,1,10865006.030000001,10849791.799999999,629380.77,4925422.915714286,2990566.7876666663
2024-01-09,805429.6,1,1,1,502705.24,549659.33,473986.44,4961961.525714287,3001614.893
2024-01-10,10521287.03,2,1,1,805429.6,618777.59,370396.51,6376605.731428572,3339977.9103333335
2024-01-11,291866.95999999996,3,1,1,10521287.03,10727780.2,319458.44,4885760.9828571435,3339058.194333333
2024-01-12,459424.2,4,1,1,291866.95999999996,10718543.030000001,962213.31,3420172.578571429,3322298.5573333334
2024-01-13,538614.79,5,1,1,459424.2,495488.99,295939.22000000003,3426333.4071428576,3330387.7430000002
2024-01-14,801351.28,6,1,1,538614.79,10865006.030000001,600198.51,1988668.442857143,3337092.835333333
2024-01-15,808021.5,0,1,1,801351.28,502705.24,791201.56,2032285.0514285716,3337653.4999999995
2024-01-16,669110.37,1,1,1,808021.5,805429.6,10514058.19,2012810.8757142858,3009488.5726666665
2024-01-17,361233.76,2,1,1,669110.37,10521287.03,667047.9299999999,561374.6942857145,2999294.767
2024-01-18,731968.1,3,1,1,361233.76,291866.95999999996,480403.14,624246.285714286,3007680.2656666664
2024-01-19,793159.88,4,1,1,731968.1,459424.2,693244.51,671922.8114285717,3011010.778
2024-01-20,721330.13,5,1,1,793159.88,538614.79,10822922.48,698025.0028571431,2674291.0330000003
2024-01-21,414998.27999999997,6,1,1,721330.13,801351.28,830279.66,642831.7171428574,2660448.320333333
2024-01-22,754470.36,0,1,1,414998.27999999997,808021.5,479957.13,635181.5542857145,2669598.7613333333
2024-01-23,618739.52,1,1,1,754470.36,669110.37,894669.9,627985.7185714288,2660401.082
2024-01-24,585792.85,2,1,1,618739.52,361233.76,570771.88,660065.5885714289,2660901.781
2024-01-25,822834.83,3,1,1,585792.85,731968.1,1001076.95,673046.5500000002,2654960.377
2024-01-26,455051.94,4,1,1,822834.83,793159.88,11063381.08,624745.415714286,2301349.4056666666
2024-01-27,10439692.75,5,1,1,455051.94,721330.13,489650.55,2013082.932857143,2633017.4790000003
2024-01-28,630539.39,6,1,1,10439692.75,414998.27999999997,612022.29,2043874.5200000003,2633634.7156666666
2024-01-29,503057.51,0,1,1,630539.39,754470.36,647863.8300000001,2007958.3985714286,2628807.838333333
2024-01-30,822488.61,1,1,1,503057.51,618739.52,808507.91,2037065.4114285714,2629273.8616666663
2024-01-31,10719426.14,2,1,1,822488.61,585792.85,10849791.799999999,3484727.31,2624928.3396666665
2024-02-01,515708.22,3,2,1,10719426.14,822834.83,549659.33,3440852.0799999996,2623796.636
2024-02-02,515992.92,4,2,1,515708.22,455051.94,618777.59,3449557.9342857148,2620370.4803333334
2024-02-03,762240.19,5,2,1,515992.92,10439692.75,10727780.2,2067064.7114285717,2288185.813333333
2024-02-04,545149.38,6,2,1,762240.19,630539.39,10718543.030000001,2054866.1385714286,1949072.6916666667
2024-02-05,322406.51999999996,0,2,1,545149.38,503057.51,495488.99,2029058.8542857147,1943303.276
2024-02-06,355432.86,1,2,1,322406.51999999996,822488.61,10865006.030000001,1962336.6042857147,1592984.1703333333
2024-02-07,838264.11,2,2,1,355432.86,10719426.14,502705.24,550742.0285714288,1604169.4659999998
2024-02-08,1039973.1,3,2,1,838264.11,515708.22,805429.6,625637.0114285715,1611987.5826666665
2024-02-09,756493.67,4,2,1,1039973.1,515992.92,10521287.03,659994.2614285717,1286494.4706666667
2024-02-10,1183453.1099999999,5,2,1,756493.67,762240.19,291866.95999999996,720167.535714286,1316214.009
2024-02-11,638874.31,6,2,1,1183453.1099999999,545149.38,459424.2,733556.8114285717,1322195.6793333334
2024-02-12,787505.8300000001,0,2,1,638874.31,322406.51999999996,538614.79,799999.5700000003,1330492.0473333334
2024-02-13,373856.52,1,2,1,787505.8300000001,355432.86,801351.28,802631.5214285718,1316242.2219999998
2024-02-14,634119.57,2,2,1,373856.52,838264.11,808021.5,773468.015714286,1310445.491
2024-02-15,765559.47,3,2,1,634119.57,1039973.1,669110.37,734266.0685714289,1313660.4610000001
2024-02-16,10808423.469999999,4,2,1,765559.47,756493.67,361233.76,2170256.04,1661900.1179999998
2024-02-17,721983.51,5,2,1,10808423.469999999,1183453.1099999999,731968.1,2104331.8114285716,1661567.2983333333
2024-02-18,548800.5599999999,6,2,1,721983.51,638874.31,793159.88,2091464.1328571432,1653421.9876666665
2024-02-19,567458.05,0,2,1,548800.5599999999,787505.8300000001,721330.13,2060028.7357142859,1648292.9183333332
2024-02-20,313809.98,1,2,1,567458.05,373856.52,414998.27999999997,2051450.6585714284,1644919.975
2024-02-21,10618054.11,2,2,1,313809.98,634119.57,754470.36,3477727.021428571,1973706.0999999999
2024-02-22,827838.11,3,2,1,10618054.11,765559.47,618739.52,3486623.97,1980676.0529999998
2024-02-23,547467.42,4,2,1,827838.11,10808423.469999999,585792.85,2020773.1057142857,1979398.5386666665
2024-02-24,350501.07,5,2,1,547467.42,721983.51,822834.83,1967704.1857142858,1963654.0799999998
2024-02-25,470271.87,6,2,1,350501.07,548800.5599999999,455051.94,1956485.8014285716,1964161.4109999998
2024-02-26,543186.25,0,2,1,470271.87,567458.05,10439692.75,1953018.4014285717,1634277.861
2024-02-27,632185.78,1,2,1,543186.25,313809.98,630539.39,1998500.6585714289,1634332.7406666665
2024-02-28,715758.46,2,2,1,632185.78,10618054.11,503057.51,583886.9942857146,1641422.772333333
2024-02-29,10718734.569999998,3,2,1,715758.46,827838.11,822488.61,1996872.2028571428,1971297.6376666664
2024-03-01,899111.38,4,3,1,10718734.569999998,547467.42,10719426.14,2047107.0542857144,1643953.8123333333
2024-03-02,694350.6,5,3,1,899111.38,350501.07,515708.22,2096228.4157142858,1649908.558333333
2024-03-03,10710910.04,6,3,1,694350.6,470271.87,515992.92,3559176.7257142854,1989739.1289999997
2024-03-04,10963355.84,0,3,1,10710910.04,543186.25,762240.19,5047772.381428571,2329776.317333333
2024-03-05,808411.83,1,3,1,10963355.84,632185.78,545149.38,5072947.531428571,2338551.732333333
2024-03-06,366335.61,2,3,1,808411.83,715758.46,322406.51999999996,5023029.981428571,2340016.035333333
2024-03-07,426826.60000000003,3,3,1,366335.61,10718734.569999998,355432.86,3552757.4142857147,2342395.8266666667
2024-03-08,702689.39,4,3,1,426826.60000000003,899111.38,838264.11,3524697.1300000004,2337876.669333333
2024-03-09,342249.49,5,3,1,702689.39,694350.6,1039973.1,3474396.9714285717,2314619.2156666666
2024-03-10,20924685.099999998,6,3,1,342249.49,10710910.04,756493.67,4933507.694285714,2986892.263333333
2024-03-11,915919.92,0,3,1,20924685.099999998,10963355.84,1183453.1099999999,3498159.705714286,2977974.490333333
2024-03-12,731838.46,1,3,1,915919.92,808411.83,638874.31,3487220.652857143,2981073.295333333
2024-03-13,20905305.57,2,3,1,731838.46,366335.61,787505.8300000001,6421359.218571429,3651666.6199999996
2024-03-14,800476.11,3,3,1,20905305.57,426826.60000000003,373856.52,6474737.72,3665887.273
2024-03-15,639909.09,4,3,1,800476.11,702689.39,634119.57,6465769.105714285,3666080.2569999998
2024-03-16,10694207.01,5,3,1,639909.09,342249.49,765559.47,7944620.18,3997035.1749999993
2024-03-17,866338.68,6,3,1,10694207.01,20924685.099999998,10808423.469999999,5079142.119999999,3665632.3486666665
2024-03-18,454856.87,0,3,1,866338.68,915919.92,721983.51,5013275.97,3656728.1273333333
2024-03-19,20675392.479999997,1,3,1,454856.87,731838.46,548800.5599999999,7862355.115714284,4327614.524666666
2024-03-20,11053103.95,2,3,1,20675392.479999997,20905305.57,567458.05,6454897.741428571,4677136.054666666
